sound->food;sound->goOut;move->food;light->food;light->goOut;move->goOut;
0.0;0.0;0.0;0.0;0.0;0.0;
0.6;0.0;0.0;0.25;0.0;0.0;
0.69;0.0;0.0;0.2875;0.0;0.0;
0.7035;0.0;0.0;0.293125;0.0;0.0;
0.705525;0.0;0.0;0.29396875;0.0;0.0;
0.70582875;0.0;0.0;0.2940953125;0.0;0.0;
0.7058743125;0.0;0.0;0.294114296875;0.0;0.0;
0.705881146875;0.0;0.0;0.294117144531;0.0;0.0;
0.705882172031;0.0;0.0;0.29411757168;0.0;0.0;
0.705882325805;0.0;0.0;0.294117635752;0.0;0.0;
0.705882348871;0.0;0.0;0.294117645363;0.0;0.0;
0.105882352331;0.0;0.0;0.0441176468044;0.0;0.0;
0.0158823528496;0.0;0.0;0.00661764702066;0.0;0.0;
0.00238235292744;0.0;0.0;0.000992647053099;0.0;0.0;
0.000357352939116;0.0;0.0;0.000148897057965;0.0;0.0;
5.36029408674e-05;0.0;0.0;2.23345586948e-05;0.0;0.0;
8.04044113009e-06;0.0;0.0;3.35018380423e-06;0.0;0.0;
1.2060661695e-06;0.0;0.0;5.02527570649e-07;0.0;0.0;
1.8090992541e-07;0.0;0.0;7.5379135612e-08;0.0;0.0;
2.71364887969e-08;0.0;0.0;1.13068703564e-08;0.0;0.0;
4.07047330488e-09;0.0;0.0;1.69603056812e-09;0.0;0.0;
